iter	Passed	Remaining
0	151	151601
1	153	76567
2	155	51571
3	156	39063
4	158	31536
5	159	26485
6	161	22898
7	163	20218
8	164	18144
9	166	16461
10	167	15089
11	169	13972
12	171	13039
13	173	12224
14	174	11490
15	176	10843
16	177	10272
17	179	9765
18	180	9312
19	181	8909
20	183	8545
21	185	8243
22	187	7952
23	188	7668
24	190	7414
25	191	7176
26	192	6950
27	194	6736
28	195	6536
29	196	6350
30	197	6185
31	199	6020
32	200	5881
33	201	5739
34	203	5600
35	204	5471
36	205	5348
37	206	5232
38	207	5121
39	208	5015
40	210	4913
41	211	4823
42	212	4732
43	213	4642
44	215	4573
45	216	4498
46	218	4422
47	219	4349
48	220	4277
49	221	4209
50	222	4146
51	224	4084
52	225	4024
53	226	3966
54	227	3908
55	228	3855
56	230	3810
57	231	3761
58	232	3712
59	233	3664
60	235	3618
61	236	3572
62	237	3528
63	238	3485
64	239	3445
65	240	3406
66	241	3368
67	243	3332
68	244	3304
69	246	3269
70	247	3239
71	248	3206
72	250	3175
73	251	3145
74	252	3119
75	254	3088
76	255	3058
77	256	3028
78	257	2999
79	258	2972
80	260	2951
81	261	2928
82	262	2896
83	263	2870
84	264	2845
85	265	2821
86	266	2799
87	268	2778
88	269	2760
89	270	2738
90	271	2716
91	273	2696
92	275	2682
93	276	2662
94	277	2641
95	278	2622
96	279	2602
97	280	2583
98	281	2564
99	282	2545
100	283	2526
101	285	2510
102	286	2492
103	287	2475
104	289	2464
105	290	2450
106	291	2433
107	292	2417
108	293	2401
109	294	2386
110	296	2371
111	297	2356
112	298	2340
113	299	2326
114	300	2311
115	301	2297
116	302	2281
117	303	2271
118	305	2261
119	306	2248
120	307	2236
121	308	2221
122	309	2209
123	310	2197
124	312	2184
125	313	2172
126	314	2159
127	315	2147
128	316	2135
129	317	2125
130	319	2118
131	320	2108
132	321	2096
133	322	2086
134	324	2076
135	325	2065
136	326	2054
137	327	2044
138	328	2033
139	329	2024
140	330	2014
141	331	2002
142	333	1997
143	334	1990
144	335	1980
145	337	1971
146	338	1962
147	339	1953
148	340	1943
149	341	1934
150	342	1926
151	343	1917
152	344	1909
153	346	1901
154	347	1894
155	349	1888
156	350	1881
157	351	1874
158	352	1866
159	354	1860
160	355	1851
161	356	1843
162	357	1835
163	358	1828
164	359	1820
165	360	1813
166	362	1810
167	364	1805
168	365	1798
169	366	1790
170	368	1784
171	369	1776
172	370	1769
173	371	1762
174	372	1755
175	373	1748
176	374	1741
177	375	1734
178	376	1728
179	378	1725
180	380	1721
181	381	1715
182	383	1710
183	384	1706
184	386	1701
185	388	1698
186	389	1692
187	390	1686
188	391	1681
189	393	1677
190	394	1671
191	395	1665
192	396	1659
193	398	1653
194	399	1647
195	400	1641
196	401	1635
197	402	1629
198	403	1623
199	404	1617
200	405	1612
201	407	1609
202	408	1605
203	409	1599
204	411	1594
205	412	1588
206	413	1583
207	414	1577
208	415	1572
209	416	1567
210	417	1562
211	418	1557
212	420	1552
213	421	1548
214	423	1544
215	424	1540
216	425	1535
217	426	1530
218	427	1525
219	428	1520
220	430	1515
221	431	1510
222	432	1505
223	433	1502
224	434	1497
225	436	1494
226	437	1490
227	439	1487
228	440	1483
229	441	1478
230	443	1475
231	444	1471
232	445	1467
233	446	1462
234	448	1459
235	449	1454
236	450	1450
237	452	1448
238	453	1443
239	454	1439
240	455	1435
241	456	1430
242	457	1426
243	458	1421
244	459	1417
245	461	1413
246	462	1409
247	463	1404
248	464	1400
249	465	1397
250	467	1394
251	468	1390
252	469	1386
253	470	1382
254	471	1378
255	472	1374
256	474	1370
257	475	1366
258	476	1362
259	477	1359
260	478	1355
261	479	1351
262	481	1349
263	482	1346
264	483	1342
265	485	1338
266	486	1334
267	487	1330
268	488	1327
269	489	1323
270	490	1319
271	491	1315
272	492	1311
273	493	1308
274	495	1305
275	496	1303
276	497	1299
277	498	1295
278	500	1292
279	501	1289
280	502	1285
281	503	1282
282	505	1280
283	507	1278
284	508	1275
285	510	1274
286	511	1271
287	512	1267
288	514	1264
289	516	1263
290	517	1261
291	519	1258
292	520	1255
293	521	1252
294	522	1249
295	524	1247
296	525	1244
297	527	1241
298	528	1238
299	529	1235
300	530	1232
301	532	1230
302	534	1228
303	535	1226
304	536	1222
305	537	1219
306	539	1217
307	541	1215
308	542	1212
309	543	1209
310	544	1206
311	545	1203
312	546	1200
313	547	1196
314	548	1193
315	550	1190
316	551	1187
317	552	1184
318	553	1181
319	555	1180
320	556	1177
321	557	1173
322	558	1170
323	559	1168
324	561	1165
325	562	1162
326	563	1159
327	564	1156
328	565	1153
329	566	1150
330	567	1147
331	569	1146
332	570	1143
333	572	1140
334	573	1137
335	574	1135
336	575	1131
337	576	1128
338	577	1125
339	578	1123
340	579	1120
341	580	1117
342	581	1114
343	583	1112
344	584	1110
345	586	1108
346	587	1105
347	588	1102
348	589	1099
349	590	1096
350	591	1093
351	592	1090
352	593	1088
353	594	1085
354	595	1082
355	596	1079
356	598	1078
357	600	1076
358	601	1073
359	602	1070
360	603	1068
361	604	1065
362	605	1062
363	606	1060
364	607	1057
365	608	1054
366	610	1052
367	611	1049
368	612	1047
369	614	1045
370	615	1043
371	616	1040
372	617	1038
373	618	1035
374	619	1032
375	620	1030
376	621	1027
377	622	1025
378	624	1022
379	625	1020
380	626	1017
381	628	1016
382	629	1013
383	630	1011
384	632	1009
385	633	1007
386	634	1005
387	636	1003
388	637	1000
389	638	998
390	639	995
391	640	993
392	641	991
393	643	990
394	644	987
395	645	985
396	646	982
397	647	980
398	649	977
399	650	975
400	651	972
401	652	970
402	653	967
403	654	965
404	655	963
405	657	961
406	658	959
407	659	957
408	660	954
409	661	952
410	663	950
411	664	947
412	665	945
413	666	943
414	667	940
415	668	938
416	669	936
417	670	933
418	672	932
419	673	930
420	675	928
421	676	926
422	677	923
423	678	921
424	679	919
425	680	916
426	681	914
427	682	912
428	683	910
429	684	907
430	686	906
431	687	904
432	689	902
433	690	900
434	691	898
435	692	896
436	693	893
437	694	891
438	696	889
439	697	887
440	698	885
441	699	883
442	700	881
443	702	879
444	703	877
445	704	875
446	705	873
447	707	871
448	708	869
449	709	866
450	710	864
451	711	862
452	712	860
453	713	858
454	715	856
455	716	854
456	717	853
457	719	851
458	720	849
459	721	847
460	723	845
461	724	843
462	725	841
463	726	839
464	728	838
465	730	837
466	732	835
467	733	833
468	734	831
469	735	829
470	736	827
471	737	825
472	738	823
473	740	821
474	741	819
475	742	817
476	743	815
477	745	813
478	746	812
479	747	810
480	748	808
481	750	806
482	751	803
483	752	801
484	753	799
485	754	797
486	755	795
487	756	793
488	757	791
489	758	789
490	760	788
491	761	786
492	762	784
493	764	782
494	765	780
495	766	778
496	767	776
497	768	774
498	769	772
499	770	770
500	771	768
501	772	766
502	773	764
503	775	763
504	776	761
505	777	759
506	778	757
507	779	755
508	780	753
509	782	751
510	783	749
511	784	747
512	785	745
513	786	743
514	787	741
515	789	740
516	790	738
517	792	736
518	793	735
519	794	733
520	795	731
521	796	729
522	797	727
523	798	725
524	799	723
525	800	721
526	801	719
527	803	717
528	804	716
529	806	714
530	807	712
531	808	711
532	809	709
533	810	707
534	811	705
535	812	703
536	813	701
537	814	699
538	815	697
539	816	695
540	818	694
541	820	693
542	821	691
543	822	689
544	823	687
545	825	686
546	826	684
547	827	682
548	829	681
549	830	679
550	831	677
551	832	675
552	834	674
553	835	672
554	836	670
555	837	669
556	838	667
557	840	665
558	841	663
559	842	661
560	843	659
561	844	657
562	845	656
563	846	654
564	847	652
565	849	651
566	850	649
567	851	647
568	853	646
569	854	644
570	855	643
571	857	641
572	858	639
573	859	637
574	860	636
575	861	634
576	863	632
577	864	631
578	866	629
579	867	627
580	868	626
581	869	624
582	870	622
583	871	620
584	872	619
585	873	617
586	874	615
587	876	613
588	877	612
589	879	610
590	880	609
591	881	607
592	882	605
593	883	604
594	884	602
595	885	600
596	886	598
597	888	597
598	889	595
599	890	593
600	891	591
601	892	590
602	894	588
603	895	587
604	896	585
605	897	583
606	899	582
607	900	580
608	901	578
609	902	576
610	903	575
611	904	573
612	905	571
613	907	570
614	908	568
615	910	567
616	911	566
617	913	564
618	915	563
619	916	561
620	918	560
621	919	558
622	921	557
623	923	556
624	924	554
625	925	552
626	926	551
627	927	549
628	928	547
629	929	546
630	931	544
631	932	542
632	933	541
633	934	539
634	935	537
635	937	536
636	938	534
637	939	533
638	940	531
639	941	529
640	942	527
641	943	526
642	944	524
643	946	522
644	947	521
645	948	519
646	949	518
647	951	516
648	952	515
649	953	513
650	954	511
651	956	510
652	957	508
653	958	506
654	959	505
655	960	503
656	961	501
657	962	500
658	963	498
659	964	497
660	966	495
661	967	494
662	969	492
663	970	490
664	971	489
665	972	487
666	973	485
667	974	484
668	975	482
669	976	481
670	977	479
671	978	477
672	980	476
673	981	474
674	983	473
675	984	471
676	985	470
677	986	468
678	987	466
679	988	465
680	989	463
681	990	461
682	991	460
683	993	458
684	994	457
685	995	455
686	997	454
687	998	452
688	999	451
689	1000	449
690	1002	448
691	1003	446
692	1004	445
693	1006	443
694	1007	442
695	1008	440
696	1010	439
697	1011	437
698	1012	436
699	1013	434
700	1014	432
701	1016	431
702	1017	429
703	1018	428
704	1019	426
705	1020	424
706	1021	423
707	1022	421
708	1024	420
709	1025	418
710	1026	417
711	1027	415
712	1028	414
713	1030	412
714	1031	410
715	1032	409
716	1034	408
717	1035	406
718	1036	405
719	1037	403
720	1039	402
721	1040	400
722	1041	399
723	1042	397
724	1044	396
725	1045	394
726	1046	392
727	1047	391
728	1048	389
729	1049	388
730	1050	386
731	1051	385
732	1052	383
733	1054	382
734	1055	380
735	1056	379
736	1058	377
737	1059	376
738	1060	374
739	1061	373
740	1062	371
741	1063	369
742	1064	368
743	1066	366
744	1067	365
745	1069	364
746	1070	362
747	1071	361
748	1072	359
749	1073	357
750	1075	356
751	1076	354
752	1077	353
753	1078	351
754	1079	350
755	1080	348
756	1081	347
757	1082	345
758	1084	344
759	1085	342
760	1087	341
761	1089	340
762	1090	338
763	1092	337
764	1093	335
765	1094	334
766	1095	332
767	1096	331
768	1098	329
769	1099	328
770	1100	326
771	1102	325
772	1103	323
773	1104	322
774	1106	321
775	1107	319
776	1108	318
777	1109	316
778	1110	315
779	1111	313
780	1113	312
781	1114	310
782	1115	309
783	1117	307
784	1118	306
785	1119	304
786	1120	303
787	1121	301
788	1122	300
789	1123	298
790	1124	297
791	1125	295
792	1126	294
793	1128	292
794	1130	291
795	1131	289
796	1132	288
797	1133	286
798	1135	285
799	1136	284
800	1137	282
801	1138	281
802	1140	279
803	1141	278
804	1143	276
805	1144	275
806	1146	274
807	1147	272
808	1148	271
809	1150	269
810	1151	268
811	1152	266
812	1153	265
813	1154	263
814	1155	262
815	1159	261
816	1160	260
817	1161	258
818	1162	257
819	1163	255
820	1165	254
821	1166	252
822	1167	251
823	1168	249
824	1169	248
825	1170	246
826	1172	245
827	1174	243
828	1175	242
829	1176	240
830	1177	239
831	1178	238
832	1180	236
833	1181	235
834	1182	233
835	1183	232
836	1184	230
837	1185	229
838	1187	227
839	1188	226
840	1190	225
841	1191	223
842	1192	222
843	1194	220
844	1195	219
845	1197	217
846	1198	216
847	1199	215
848	1200	213
849	1203	212
850	1204	210
851	1205	209
852	1206	207
853	1207	206
854	1208	205
855	1210	203
856	1211	202
857	1212	200
858	1213	199
859	1214	197
860	1216	196
861	1217	194
862	1219	193
863	1220	192
864	1221	190
865	1222	189
866	1223	187
867	1225	186
868	1226	184
869	1227	183
870	1228	181
871	1229	180
872	1230	179
873	1232	177
874	1234	176
875	1235	174
876	1236	173
877	1237	171
878	1238	170
879	1239	169
880	1241	167
881	1242	166
882	1243	164
883	1244	163
884	1245	161
885	1247	160
886	1248	159
887	1249	157
888	1251	156
889	1252	154
890	1253	153
891	1254	151
892	1255	150
893	1256	149
894	1257	147
895	1259	146
896	1260	144
897	1261	143
898	1263	141
899	1264	140
900	1265	139
901	1266	137
902	1268	136
903	1269	134
904	1270	133
905	1271	131
906	1272	130
907	1274	129
908	1276	127
909	1277	126
910	1279	124
911	1281	123
912	1283	122
913	1285	120
914	1286	119
915	1288	118
916	1289	116
917	1291	115
918	1293	113
919	1294	112
920	1296	111
921	1297	109
922	1298	108
923	1299	106
924	1300	105
925	1303	104
926	1305	102
927	1307	101
928	1309	100
929	1312	98
930	1318	97
931	1320	96
932	1322	94
933	1327	93
934	1329	92
935	1331	91
936	1333	89
937	1337	88
938	1339	87
939	1341	85
